Indian Institute of Technology Mandi,"B.Tech in Microelectronics & VLSI (4 Years, Bachelor of Technology)",All India,Gender-Neutral,10,0,2,0,3,0,3,0,5,1,24,30 0
Indian Institute of Technology Mandi,"B.Tech in Microelectronics & VLSI (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),2,0,1,0,1,0,0,0,2,0,"6 (including ""0"" Supernumerary)",30 0
,,,Total Seats,12,0,3,0,4,0,3,0,7,1,30,30 0
Indian Institute of Technology Mandi,"B.Tech in Mathematics and Computing (4 Years, Bachelor of Technology)",All India,Gender-Neutral,9,1,2,0,4,0,2,0,6,0,24,30 0
Indian Institute of Technology Mandi,"B.Tech in Mathematics and Computing (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),2,0,1,0,1,0,0,0,2,0,"6 (including ""0"" Supernumerary)",30 0
,,,Total Seats,11,1,3,0,5,0,2,0,8,0,30,30 0
Indian Institute of Technology Mandi,"Mechanical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,18,1,4,1,6,1,4,0,13,0,48,54 6
Indian Institute of Technology Mandi,"Mechanical Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),5,0,1,0,2,0,1,0,2,1,"12 (including ""6"" Supernumerary)",54 6
,,,Total Seats,23,1,5,1,8,1,5,0,15,1,60,54 6
Indian Institute of Technology Mandi,"Bio Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,10,0,2,0,4,0,2,0,5,1,24,30 0
Indian Institute of Technology Mandi,"Bio Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),2,0,1,0,1,0,0,0,2,0,"6 (including ""0"" Supernumerary)",30 0
,,,Total Seats,12,0,3,0,5,0,2,0,7,1,30,30 0
Indian Institute of Technology Mandi,"Data Science and Artificial Intelligence (4 Years, Bachelor of Technology)",All India,Gender-Neutral,15,1,4,0,6,0,2,1,11,0,40,50 0
